               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.021235,            0.017723,                   0,              0.9307,             0.92667,             0.96419,             0.77516,            0.016934,            0.010687,                   0,           0.0054212,           0.0054212,           0.0054212
                  39,            0.020484,            0.018183,                   0,             0.91095,             0.95483,             0.97243,             0.77676,            0.016696,            0.010511,                   0,           0.0052975,           0.0052975,           0.0052975
                  40,            0.020636,            0.017713,                   0,             0.93061,                0.94,             0.96646,             0.76382,            0.017042,            0.010263,                   0,           0.0051737,           0.0051737,           0.0051737
                  41,            0.020053,            0.017342,                   0,             0.92227,                0.96,             0.96711,             0.77973,            0.016555,            0.010329,                   0,             0.00505,             0.00505,             0.00505
                  42,            0.020779,            0.017778,                   0,             0.93301,             0.95333,             0.96093,             0.76541,             0.01817,             0.01052,                   0,           0.0049263,           0.0049263,           0.0049263
                  43,            0.020734,            0.017575,                   0,             0.94692,             0.95141,             0.97637,             0.78826,            0.016032,           0.0097688,                   0,           0.0048025,           0.0048025,           0.0048025
                  44,             0.02005,            0.017418,                   0,             0.92229,                0.94,             0.97003,             0.78257,             0.01733,            0.010405,                   0,           0.0046788,           0.0046788,           0.0046788
                  45,            0.019304,            0.016797,                   0,             0.92391,             0.97134,             0.97247,             0.79593,            0.015982,           0.0097077,                   0,            0.004555,            0.004555,            0.004555
                  46,            0.019376,            0.017023,                   0,             0.91099,             0.96667,             0.96831,             0.77866,            0.016505,            0.010402,                   0,           0.0044313,           0.0044313,           0.0044313
                  47,            0.019886,            0.017304,                   0,             0.91183,             0.96523,              0.9701,              0.7795,            0.016208,            0.010266,                   0,           0.0043075,           0.0043075,           0.0043075
                  48,            0.019136,             0.01689,                   0,             0.93605,             0.94667,             0.97209,             0.78867,             0.01627,            0.010008,                   0,           0.0041837,           0.0041837,           0.0041837
                  49,            0.018524,            0.016553,                   0,             0.91714,             0.95931,             0.96266,             0.78624,             0.01599,            0.010803,                   0,             0.00406,             0.00406,             0.00406
                  50,            0.018667,            0.016429,                   0,             0.93025,             0.96667,             0.96899,             0.78919,            0.016605,           0.0099819,                   0,           0.0039362,           0.0039362,           0.0039362
                  51,            0.019055,            0.016662,                   0,             0.92201,                0.96,             0.97129,             0.78537,            0.016799,            0.010559,                   0,           0.0038125,           0.0038125,           0.0038125
                  52,            0.017946,            0.016198,                   0,               0.927,                0.96,             0.97724,             0.80098,            0.015494,           0.0096984,                   0,           0.0036888,           0.0036888,           0.0036888
                  53,            0.018349,            0.016427,                   0,             0.92396,             0.97214,             0.97053,             0.78359,            0.016276,            0.010085,                   0,            0.003565,            0.003565,            0.003565
                  54,            0.018326,            0.016017,                   0,             0.88979,                0.96,              0.9639,             0.77723,            0.015523,            0.011113,                   0,           0.0034413,           0.0034413,           0.0034413
                  55,            0.018067,            0.016073,                   0,             0.88369,             0.96241,             0.95876,             0.77873,            0.015805,            0.010401,                   0,           0.0033175,           0.0033175,           0.0033175
                  56,            0.018134,            0.016164,                   0,             0.91134,             0.95938,             0.95848,             0.77698,            0.016557,            0.011117,                   0,           0.0031938,           0.0031938,           0.0031938
                  57,            0.017495,            0.016183,                   0,             0.92747,             0.94667,             0.96412,             0.78729,            0.017244,            0.010446,                   0,             0.00307,             0.00307,             0.00307
                  58,            0.017507,            0.015751,                   0,             0.90952,                0.96,             0.96741,             0.79188,            0.016304,            0.010611,                   0,           0.0029462,           0.0029462,           0.0029462
                  59,            0.018955,            0.015763,                   0,             0.92526,             0.93333,             0.96172,              0.7908,            0.016054,            0.010162,                   0,           0.0028225,           0.0028225,           0.0028225
                  60,            0.017665,             0.01548,                   0,             0.92298,             0.95867,             0.96559,             0.79092,            0.016018,            0.010225,                   0,           0.0026987,           0.0026987,           0.0026987
                  61,            0.017529,            0.015808,                   0,             0.89675,                0.96,             0.96275,             0.78656,            0.016308,            0.010844,                   0,            0.002575,            0.002575,            0.002575
                  62,             0.01741,            0.016009,                   0,             0.92318,             0.96142,             0.96947,             0.79565,            0.015545,           0.0099086,                   0,           0.0024513,           0.0024513,           0.0024513
                  63,            0.017149,            0.015527,                   0,             0.90716,             0.97716,             0.97211,             0.79336,            0.016641,           0.0099143,                   0,           0.0023275,           0.0023275,           0.0023275
                  64,            0.017492,            0.015985,                   0,             0.91122,             0.95793,             0.97413,              0.7978,            0.015191,            0.010303,                   0,           0.0022038,           0.0022038,           0.0022038
                  65,            0.016796,            0.015551,                   0,             0.89508,             0.96684,             0.96891,             0.79432,             0.01572,           0.0097948,                   0,             0.00208,             0.00208,             0.00208
                  66,            0.017164,            0.015548,                   0,             0.91153,             0.96165,             0.96387,             0.80013,            0.015597,           0.0097538,                   0,           0.0019563,           0.0019563,           0.0019563
                  67,            0.016371,            0.015567,                   0,             0.88244,                0.98,             0.96835,             0.80303,            0.015496,           0.0099459,                   0,           0.0018325,           0.0018325,           0.0018325
                  68,            0.016569,            0.014624,                   0,             0.91605,             0.95333,             0.97003,             0.80461,            0.016013,            0.010107,                   0,           0.0017087,           0.0017087,           0.0017087
                  69,            0.017249,            0.014877,                   0,             0.92236,             0.95036,              0.9689,             0.80646,            0.015954,            0.010284,                   0,            0.001585,            0.001585,            0.001585
                  70,            0.016417,             0.01492,                   0,             0.91936,                0.94,             0.96957,             0.80386,            0.015314,            0.010149,                   0,           0.0014612,           0.0014612,           0.0014612
                  71,            0.016522,              0.0148,                   0,             0.89825,             0.97333,             0.96954,             0.80264,            0.014865,            0.010138,                   0,           0.0013375,           0.0013375,           0.0013375
                  72,            0.015927,            0.014887,                   0,             0.91685,              0.9557,             0.97294,              0.8025,            0.015465,           0.0098414,                   0,           0.0012138,           0.0012138,           0.0012138
                  73,            0.016662,            0.014475,                   0,             0.90616,             0.96563,             0.97227,             0.80369,            0.015474,            0.010036,                   0,             0.00109,             0.00109,             0.00109
                  74,            0.016228,            0.014432,                   0,             0.89145,             0.98549,              0.9717,             0.80599,            0.015212,           0.0098361,                   0,          0.00096625,          0.00096625,          0.00096625
                  75,            0.016133,            0.014796,                   0,             0.90592,             0.96667,             0.97043,             0.80716,            0.015728,            0.010163,                   0,           0.0008425,           0.0008425,           0.0008425
                  76,            0.015586,            0.014637,                   0,             0.92455,             0.96667,             0.97252,             0.80418,            0.015687,            0.010019,                   0,          0.00071875,          0.00071875,          0.00071875
                  77,            0.015904,            0.014354,                   0,             0.92296,             0.95842,             0.97043,             0.79964,            0.015939,             0.01025,                   0,            0.000595,            0.000595,            0.000595
                  78,            0.015404,            0.014539,                   0,             0.91916,             0.95333,             0.97135,              0.8073,            0.015742,            0.010453,                   0,          0.00047125,          0.00047125,          0.00047125
                  79,            0.015676,            0.013959,                   0,              0.9159,                0.96,             0.97244,             0.80794,            0.015555,            0.010309,                   0,           0.0003475,           0.0003475,           0.0003475
